,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
23933,City of La Crosse        ,1.8,LA CROSSE, 601 ST ANDREW ST   ,34700,37700,258000,280100,292700,317800,34700,41500,258000,308600,292700,350100
12031,Town of Holland          ,0.81,HOLMEN, W7771 COUNTRY AVE  ,252100,323900,25800,33200,277900,357100,252100,304300,25800,31100,277900,335400
37143,City of La Crosse        ,0.138,LA CROSSE, 2617 LOSEY BLVD S,96700,105000,18200,19800,114900,124800,81100,97000,15400,18400,96500,115400
15152,Town of Onalaska         ,0.5,ONALASKA, N5893 COTTAGE LN   ,125300,161200,15000,19300,140300,180500,125300,151900,15000,18200,140300,170100
58224,City of Onalaska         ,0.1,ONALASKA, 3711 EMERALD DR   E,206300,208500,18600,18800,224900,227300,153200,166800,24500,26700,177700,193500
33281,City of La Crosse        ,0.129,LA CROSSE, 2011 WINNEBAGO ST   ,96200,104500,29100,31600,125300,136100,82200,98300,21800,26100,104000,124400
48104,City of Onalaska         ,0.26,ONALASKA, 1416 JOHNSON ST   ,237500,240000,44800,45300,282300,285300,208900,227500,41300,45000,250200,272500
44425,City of Onalaska         ,0.77,ONALASKA, 2126 KYLE LN   ,166400,168200,100600,101700,267000,269900,212900,231900,39500,43000,252400,274900
20046,Village of Bangor        ,0.2,BANGOR, 1905 HENRY JOHNS BLVD ,130900,138200,22200,23400,153100,161600,130900,132400,22200,22400,153100,154800
34920,City of La Crosse        ,0.255,LA CROSSE, 1712 31ST ST   S,136500,148200,32400,35200,168900,183400,116400,139200,24000,28700,140400,167900
64806,Town of Bangor           ,25.84,WEST SALEM,  COUNTY ROAD B      ,0,0,7400,0,7400,0,0,0,7400,0,7400,0
25943,City of La Crosse        ,0.081,LA CROSSE, 812 NORTH ST   ,64900,70500,15600,16900,80500,87400,54500,65200,11400,13600,65900,78800
66250,Town of Holland          ,0.995,HOLMEN,  VOLENDAM ST   ,0,0,32200,41400,32200,41400,0,0,32200,38900,32200,38900
17908,Town of Shelby           ,0.32,LA CROSSE, W4985 HARVEST LN   ,140600,157200,25800,28800,166400,186000,140600,151500,25800,27800,166400,179300
47519,City of Onalaska         ,1.05,ONALASKA, 4046 BEVERLY DR   ,456000,460800,64700,65400,520700,526200,412300,449000,53700,58500,466000,507500
56961,Town of Hamilton         ,39.33,WEST SALEM, W3835 PLEASANT VALLEY RD   ,38400,0,42200,0,80600,0,38400,0,42400,0,80800,0
4425,Town of Campbell         ,0.27,LA CROSSE, 731 LANCASTER ST   ,117700,126900,34400,37100,152100,164000,117700,126500,34400,37000,152100,163500
58816,Town of Greenfield       ,35.63,LA CROSSE,  STATE ROAD 33      ,0,0,3300,0,3300,0,0,0,3500,0,3500,0
42990,City of Onalaska         ,0.31,ONALASKA, 1329 JOHNSON ST   ,155900,157500,44600,45100,200500,202600,112400,122400,45500,49600,157900,172000
68728,Town of Washington       ,0.13,COON VALLEY, W2359 STATE ROAD 33      ,0,0,1300,1300,1300,1300,81100,103100,900,1100,82000,104200
39714,City of La Crosse        ,0.138,LA CROSSE, 2712 SHELBY RD   ,6700,7300,11600,12600,18300,19900,4400,5300,7400,8900,11800,14200
34385,City of La Crosse        ,0.127,LA CROSSE, 1924 REDFIELD ST   ,84300,91500,30100,32700,114400,124200,65100,77900,22100,26400,87200,104300
38162,City of La Crosse        ,0.245,LA CROSSE, 3313 KENTON ST   ,188100,204200,19700,21400,207800,225600,156500,187200,18200,21800,174700,209000
41757,City of Onalaska         ,0.21,ONALASKA, 1041 GREEN BAY ST   ,216600,218900,36900,37300,253500,256200,191500,208600,31100,33900,222600,242500
63096,Town of Holland          ,36.16,HOLMEN,  COUNTY ROAD T      ,0,0,1400,0,1400,0,0,0,1500,0,1500,0
16518,Town of Shelby           ,21.98,LA CROSSE,  EBNER COULEE RD   ,0,0,161400,180400,161400,180400,0,0,161400,173900,161400,173900
58421,Town of Greenfield       ,7.41,LA CROSSE, W4317 STATE ROAD 33      ,204000,236800,44300,51400,248300,288200,204000,236600,44300,51400,248300,288000
10763,Town of Holland          ,0.311,HOLMEN, N7281 COUNTY ROAD XX      ,75600,97100,8100,10400,83700,107500,75600,91300,8100,9800,83700,101100
18456,Town of Shelby           ,30.65,STODDARD, W4913 CHIPMUNK RD   N,63900,0,47900,0,111800,0,63900,0,48000,0,111900,0
59451,Town of Holland          ,34.47,HOLMEN, W7089 GAARDER RD   ,236200,0,42400,0,278600,0,236200,0,42500,0,278700,0
23808,City of La Crosse        ,0.162,LA CROSSE, 806 CALEDONIA ST   ,178600,193900,12500,13600,191100,207500,156100,186700,12300,14700,168400,201400
17251,Town of Shelby           ,3.5,LA CROSSE,  KNOBLOCH RD   ,0,0,1100,0,1100,0,0,0,1100,0,1100,0
30435,City of La Crosse        ,0.189,LA CROSSE, 919 ZEISLER ST   ,105600,114700,32900,35700,138500,150400,93900,112300,35800,42800,129700,155100
31123,City of La Crosse        ,0.168,LA CROSSE, 1409 GREEN BAY ST   ,99500,108000,30400,33000,129900,141000,77500,92700,23000,27500,100500,120200
49354,Town of Onalaska         ,0.35,ONALASKA, W6089 RUTH LN   ,138400,178100,20500,26400,158900,204500,138400,167800,20500,24900,158900,192700
22740,Village of West Salem    ,0.22,WEST SALEM, 740 GARLAND ST   E,102000,106100,36900,38400,138900,144500,102000,102800,36900,37200,138900,140000
1652,Town of Burns            ,20.0,BANGOR,  E OLSON RD   ,0,0,9800,0,9800,0,0,0,9800,0,9800,0
31235,City of La Crosse        ,0.176,LA CROSSE, 923 DIVISION ST   ,139700,151700,22500,24400,162200,176100,102500,122600,21200,25400,123700,148000
62146,Town of Hamilton         ,45.95,WEST SALEM, W4620 G ROMSKOG RD   ,0,0,2900,0,2900,0,0,0,3100,0,3100,0
38473,City of La Crosse        ,0.21,LA CROSSE, 4614 NOTTINGHAM AVE  ,208000,225900,23700,25700,231700,251600,201800,241400,21300,25500,223100,266900
66691,City of Onalaska         ,39.76,ONALASKA, 1500 SAND LAKE RD   ,0,0,128400,0,128400,0,0,0,70900,0,70900,0
46827,City of La Crosse        ,1.119,LA CROSSE, 500 4TH ST   S,881900,957600,660500,717200,1542400,1674800,881900,1055000,380700,455400,1262600,1510400
21369,Village of Holmen        ,0.18,HOLMEN, 127 PRINCESS CT   ,7800,7600,3000,2900,10800,10500,7000,8200,2000,2400,9000,10600
39587,City of La Crosse        ,1.062,LA CROSSE, 4505 CLIFFSIDE DR   ,220700,239600,24700,26800,245400,266400,173500,207600,20700,24800,194200,232400
47122,Town of Farmington       ,7.56,MINDORO, N7521 SKOY COULEE RD   ,200,0,4500,0,4700,0,200,0,4500,0,4700,0
28010,City of La Crosse        ,0.118,LA CROSSE, 118 5TH AVE  S,154400,167700,51200,55600,205600,223300,154400,184700,37200,44500,191600,229200
68148,City of La Crosse        ,0.87,LA CROSSE, 2311 STATE RD   ,57400,62300,431200,468200,488600,530500,57400,68700,431200,515800,488600,584500
68094,Town of Onalaska         ,0.19,ONALASKA, W7645 COUNTY ROAD ZB      ,188200,242200,47700,61400,235900,303600,188200,228200,47700,57800,235900,286000
37330,City of La Crosse        ,0.211,LA CROSSE, 2129 30TH ST   S,109500,118900,27400,29800,136900,148700,88900,106300,23400,28000,112300,134300
63656,Town of Greenfield       ,20.01,LA CROSSE, N1060 WUENSCH RD   ,206100,0,27800,0,233900,0,206100,0,27800,0,233900,0
70423,Town of Holland          ,4.358,HOLMEN, W7365 SYLVESTER RD   ,93600,120300,68100,87500,161700,207800,93600,113000,68100,82200,161700,195200
12548,Town of Medary           ,2.0,LA CROSSE, W5010 KEIL COULEE RD   ,102000,111500,57000,62300,159000,173800,102000,104800,57000,58600,159000,163400
23497,Village of West Salem    ,0.23,WEST SALEM, 620 OLSON DR   ,139000,144600,41300,43000,180300,187600,158300,159500,41300,41600,199600,201100
26372,City of La Crosse        ,0.161,LA CROSSE, 163 CALEDONIA ST   ,73800,80100,12500,13600,86300,93700,68100,81500,12200,14600,80300,96100
33371,City of La Crosse        ,0.114,LA CROSSE, 803 20TH ST   S,105400,114400,28100,30500,133500,144900,88900,106300,21300,25500,110200,131800
61313,City of La Crosse        ,0.113,LA CROSSE, 1356 SUNSET CT   ,0,0,14700,16000,14700,16000,0,0,14700,17600,14700,17600
32089,City of La Crosse        ,0.141,LA CROSSE, 908 6TH ST   S,143700,156000,12200,13200,155900,169200,100600,120300,10000,12000,110600,132300
69361,City of Onalaska         ,0.54,ONALASKA, 1013 LINCOLN ST   ,134700,136100,65500,66200,200200,202300,103300,112500,65200,71000,168500,183500
22484,Village of West Salem    ,0.25,WEST SALEM, 340 ROSE ST   N,62300,64800,40100,41700,102400,106500,62300,62800,40100,40400,102400,103200
62312,Town of Farmington       ,38.77,HOLMEN, W5632 COUNTY ROAD V      ,60600,0,20800,0,81400,0,60600,0,20800,0,81400,0
36528,City of La Crosse        ,0.177,LA CROSSE, 2126 SUNRISE DR   ,107100,116300,27700,30100,134800,146400,88500,105900,19300,23100,107800,129000
30320,City of La Crosse        ,0.528,LA CROSSE, 900 MILSON CT   ,173400,188300,26800,29100,200200,217400,136200,162900,25300,30300,161500,193200
28628,City of La Crosse        ,0.295,LA CROSSE, 450 LOSEY BLVD N,278000,301900,29000,31500,307000,333400,226900,271400,30400,36400,257300,307800
38007,City of La Crosse        ,0.166,LA CROSSE, 2920 BIRCH ST   ,132900,144300,23600,25600,156500,169900,107200,128200,19300,23100,126500,151300
27150,City of La Crosse        ,0.166,LA CROSSE, 316 LIBERTY ST   ,75400,81900,12700,13800,88100,95700,78100,93400,12400,14800,90500,108200
30646,City of La Crosse        ,0.16,LA CROSSE, 1013 6TH ST   S,152000,165000,15400,16700,167400,181700,107900,129100,12300,14700,120200,143800
36340,City of La Crosse        ,0.109,LA CROSSE, 2643 EAST AVE  S,0,0,29800,32400,29800,32400,0,0,29800,35600,29800,35600
56869,Town of Medary           ,6.21,LA CROSSE, W5664 STONE HILL RD   N,455600,498100,75900,83000,531500,581100,455600,468300,75900,78000,531500,546300
20796,Village of Holmen        ,0.258,HOLMEN, 316 MORRIS ST   ,217600,211700,42700,41500,260300,253200,174400,205400,23500,27700,197900,233100
58035,Village of Holmen        ,21.39,HOLMEN,  COUNTY ROAD HD      ,0,0,2700,0,2700,0,0,0,2300,0,2300,0
23798,City of La Crosse        ,0.081,LA CROSSE, 832 CALEDONIA ST   ,87700,95200,8900,9700,96600,104900,68900,82400,8500,10200,77400,92600
15997,Town of Onalaska         ,0.46,ONALASKA, W8257 WOODVIEW DR   ,134800,173500,20700,26600,155500,200100,134800,163400,20700,25100,155500,188500
31104,City of La Crosse        ,0.14,LA CROSSE, 1240 REDFIELD ST   ,123600,134200,26200,28400,149800,162600,92600,110800,20200,24200,112800,135000
53473,Town of Burns            ,21.38,BANGOR, W358 DAVIS RD   ,318300,0,47500,0,365800,0,318300,0,47500,0,365800,0
52162,Village of Holmen        ,2.0,HOLMEN, 640 COMMERCE ST   ,208400,202700,200000,194600,408400,397300,166500,196100,126300,148700,292800,344800
17112,Town of Shelby           ,0.17,LA CROSSE, 1160 SHOREWOOD DR   ,105100,117500,21100,23600,126200,141100,105100,113300,21100,22700,126200,136000
42566,City of Onalaska         ,0.2,ONALASKA, 1404 LAKE ST   ,157800,159500,44200,44700,202000,204200,124900,136000,35300,38400,160200,174400
22489,Village of West Salem    ,0.19,WEST SALEM, 340 VAN NESS ST   N,80500,83700,33700,35100,114200,118800,80500,81100,33700,34000,114200,115100
30258,City of La Crosse        ,0.091,LA CROSSE, 2120 KING ST   ,130800,142000,36900,40100,167700,182100,96700,115700,27700,33100,124400,148800
38508,City of La Crosse        ,0.227,LA CROSSE, 4605 NOTTINGHAM AVE  ,174700,189700,25100,27300,199800,217000,114500,137000,23100,27600,137600,164600
52877,Town of Greenfield       ,2.16,COON VALLEY, N1196 COUNTY ROAD M      ,200800,233100,21300,24700,222100,257800,200800,232900,21300,24700,222100,257600
18003,Town of Shelby           ,0.41,LA CROSSE, N1100 BLOOMER MILL RD   ,137000,153100,29300,32800,166300,185900,137000,147700,29300,31600,166300,179300
21542,Village of Holmen        ,0.21,HOLMEN, 2811 MEADOW LARK LN   S,195600,190300,38400,37400,234000,227700,156200,183900,27500,32400,183700,216300
43232,City of Onalaska         ,0.24,ONALASKA, 1651 KELLER CT   ,236300,238800,48500,49000,284800,287800,222200,242000,47500,51700,269700,293700
41190,City of Onalaska         ,0.37,ONALASKA, 1040 MAIN ST   ,147400,149000,50300,50800,197700,199800,117900,128400,49400,53800,167300,182200
18739,Town of Washington       ,18.75,COON VALLEY,  BINA RD   ,0,0,3250,0,3250,0,0,0,2400,0,2400,0
20973,Village of Holmen        ,0.22,HOLMEN, 1003 1ST AVE  E,200600,195200,40200,39100,240800,234300,145300,171100,27500,32400,172800,203500
23312,Village of West Salem    ,0.25,WEST SALEM, 342 NESHONOC RD   ,146400,152300,40100,41700,186500,194000,146400,147500,40100,40400,186500,187900
38910,City of La Crosse        ,0.177,LA CROSSE, 930 DENTON ST   ,109800,119200,16600,18000,126400,137200,66500,79600,15600,18700,82100,98300
11083,Town of Holland          ,1.0,HOLMEN, W7488 COUNTY ROAD T      ,102800,132100,18000,23100,120800,155200,102800,124100,18000,21700,120800,145800
53314,City of La Crosse        ,1.33,LA CROSSE, 508 MONITOR ST   ,453300,492200,446700,485000,900000,977200,453300,542300,446700,534400,900000,1076700
19457,Village of Bangor        ,0.48,BANGOR, 1815 COMMERCIAL ST   ,87300,92200,32000,33800,119300,126000,87300,88300,32000,32400,119300,120700
15195,Town of Onalaska         ,0.69,ONALASKA, W7923 COUNTY ROAD ZB      ,114900,147800,72500,93300,187400,241100,114900,139300,72500,87900,187400,227200
21512,Village of Holmen        ,0.21,HOLMEN, 2902 MEADOW LARK LN   S,181400,176500,38400,37400,219800,213900,141000,166000,27500,32400,168500,198400
1358,Town of Barre            ,6.53,LA CROSSE, W4398 DRECTRAH RD   ,313000,363300,47600,55200,360600,418500,313000,352700,47600,53600,360600,406300
24335,City of La Crosse        ,0.17,LA CROSSE, 1121 CHARLES ST   ,87200,94700,13100,14200,100300,108900,67900,81200,10300,12300,78200,93500
12211,Town of Medary           ,1.87,LA CROSSE, W5239 COUNTY ROAD B      ,101700,111200,48000,52500,149700,163700,101700,104500,48000,49300,149700,153800
48700,Town of Holland          ,20.94,HOLMEN, N8550 COUNTY ROAD TT      ,131800,169400,70300,90300,202100,259700,131800,159100,70300,84900,202100,244000
910,Town of Barre            ,5.12,WEST SALEM, W4666 COUNTY ROAD B      ,167900,0,24200,0,192100,0,167900,0,24200,0,192100,0
14035,Town of Onalaska         ,1.377,ONALASKA, N5403 COUNTY ROAD S      ,174100,224000,26900,34600,201000,258600,174100,211100,26900,32600,201000,243700
43453,City of Onalaska         ,0.15,ONALASKA, 1033 LAUDERDALE      N,237900,240400,38100,38500,276000,278900,205300,223600,38100,41500,243400,265100
70145,City of La Crosse        ,0.08,LA CROSSE, 2411 16TH ST   S,2600,2800,7500,8100,10100,10900,2600,3100,7500,9000,10100,12100
25521,City of La Crosse        ,0.116,LA CROSSE, 1428 GILLETTE ST   ,73200,79500,17000,18500,90200,98000,50600,60500,13900,16600,64500,77100
6928,Town of Farmington       ,10.0,HOLMEN, N7826 COUNTY ROAD D      ,112800,142800,29400,37200,142200,180000,112800,134200,29400,35000,142200,169200
65189,Town of Medary           ,0.832,LA CROSSE, W5475 TIMBER CREEK TRL  ,218400,238800,34100,37300,252500,276100,218400,224500,34100,35100,252500,259600
61134,City of La Crosse        ,0.283,LA CROSSE, 2648 13TH CT   ,232400,252300,78200,84900,310600,337200,179900,215200,72800,87100,252700,302300
38635,City of La Crosse        ,0.095,LA CROSSE, 1115 EAST AVE  S,72800,79000,19400,21100,92200,100100,56100,67100,16300,19500,72400,86600
57934,Town of Medary           ,0.453,LA CROSSE, N3304 MILLER RD   ,210000,229600,34100,37300,244100,266900,210000,215900,34100,35100,244100,251000
15252,Town of Onalaska         ,0.47,ONALASKA, N5828 LAKEVIEW CT   E,133500,171800,16900,21700,150400,193500,133500,161900,16900,20500,150400,182400
42328,City of Onalaska         ,0.49,ONALASKA, 1716 HICKORY ST   ,232100,234600,55600,56200,287700,290800,203500,221600,43300,47200,246800,268800
71913,Village of Holmen        ,0.298,HOLMEN, 2008 PRAIRIE PL   ,0,0,100,0,100,0,0,0,0,0,0,0
68022,Town of Barre            ,0.2,WEST SALEM, W4131 COUNTY ROAD O      ,0,0,300,300,300,300,0,0,300,300,300,300
55425,Town of Greenfield       ,4.79,LA CROSSE,  BRECKEN RDG  ,0,0,40800,47400,40800,47400,0,0,40800,47300,40800,47300
34009,City of La Crosse        ,0.114,LA CROSSE, 1801 PARK AVE  ,97100,105400,22400,24300,119500,129700,83100,99400,20500,24500,103600,123900
26829,City of La Crosse        ,0.331,LA CROSSE, 2815 GEORGE ST   ,0,0,18500,20100,18500,20100,0,0,18500,22100,18500,22100
41388,City of Onalaska         ,1.24,ONALASKA, 910 2ND AVE  N,543800,549500,280100,283100,823900,832600,521900,568400,188600,205400,710500,773800
20535,Village of Holmen        ,0.242,HOLMEN, 305 NEITZEL DR   ,148000,144000,42300,41200,190300,185200,119500,140700,24200,28500,143700,169200
22322,Village of West Salem    ,0.2,WEST SALEM, 220 LEONARD ST   N,15200,15800,23000,23900,38200,39700,15200,15300,23000,23200,38200,38500
22769,Village of West Salem    ,0.295,WEST SALEM, 449 LEONARD ST   N,163300,169900,47700,49600,211000,219500,163300,164500,47700,48100,211000,212600
35081,City of La Crosse        ,0.184,LA CROSSE, 2326 JOHNSON ST   ,116800,126800,34500,37500,151300,164300,109000,130400,26400,31600,135400,162000
25966,City of La Crosse        ,0.161,LA CROSSE, 1833 AVON ST   ,98200,106600,20100,21800,118300,128400,85600,102400,15300,18300,100900,120700
33022,City of La Crosse        ,0.227,LA CROSSE, 1224 MISSISSIPPI ST   ,146100,158600,33200,36000,179300,194600,116400,139200,36000,43100,152400,182300
52288,City of La Crosse        ,2.981,LA CROSSE, 944 GREEN BAY ST   ,1702400,1848500,701900,762100,2404300,2610600,1702400,2036500,701900,839700,2404300,2876200
51326,Town of Greenfield       ,0.98,LA CROSSE, N1706 ELIZABETH WAY  ,139000,161300,35800,41600,174800,202900,139000,161200,35800,41500,174800,202700
69293,Town of Farmington       ,0.37,MELROSE,  MCINTOSH RD   ,0,0,100,100,100,100,0,0,100,100,100,100
45734,City of La Crosse        ,0.33,LA CROSSE, 1835 NAKOMIS AVE  ,176800,192000,143400,155700,320200,347700,122000,145900,114900,137500,236900,283400
58936,Village of West Salem    ,0.248,WEST SALEM, 335 DRIFTWOOD ST   ,420800,437700,55800,58000,476600,495700,420800,424000,55800,56200,476600,480200
10424,Town of Holland          ,38.47,HOLMEN, W6890 MOE COULEE RD   ,152600,0,42400,0,195000,0,152600,0,42600,0,195200,0
37535,City of La Crosse        ,0.194,LA CROSSE, 3029 31ST ST   S,117900,128000,23300,25300,141200,153300,94600,113200,22800,27300,117400,140500
46547,Village of West Salem    ,0.28,WEST SALEM, 123 GRISWOLD AVE  ,141900,147600,52500,54600,194400,202200,141900,143000,52500,52900,194400,195900
19150,Town of Washington       ,28.32,COON VALLEY, W561 MUENZENBERGER RD   ,159100,0,13300,0,172400,0,122500,0,16500,0,139000,0
24416,City of La Crosse        ,0.18,LA CROSSE, 605 LIBERTY ST   ,97800,106200,13500,14700,111300,120900,96700,115700,10600,12700,107300,128400
18810,Town of Washington       ,40.0,BANGOR,  COUNTY ROAD I      ,0,0,200,0,200,0,0,0,200,0,200,0
62339,Town of Hamilton         ,8.14,WEST SALEM,  STATE ROAD 108      ,5800,7200,27700,34500,33500,41700,5800,6700,27700,32200,33500,38900
15310,Town of Onalaska         ,0.34,ONALASKA, N6017 ELM ST   ,149700,192600,15300,19700,165000,212300,149700,181500,15300,18600,165000,200100
20332,Village of Holmen        ,0.54,HOLMEN, 811 MAIN ST   S,141800,138000,50100,48700,191900,186700,105800,124600,39200,46200,145000,170800
64787,City of La Crosse        ,0.245,LA CROSSE, 708 COPELAND AVE  ,69200,75100,15600,16900,84800,92000,63800,76300,14800,17700,78600,94000
16371,Town of Shelby           ,1.18,LA CROSSE,  WOODHAVEN DR   ,0,0,4100,4600,4100,4600,0,0,4100,4400,4100,4400
2704,Town of Burns            ,17.53,BANGOR, W518 PETTINGER HILL RD   ,112700,0,55100,0,167800,0,112700,0,55100,0,167800,0
70342,City of Onalaska         ,0.203,ONALASKA, 915 8TH AVE  N,186500,188500,31100,31400,217600,219900,129200,140700,26800,29200,156000,169900
60035,Town of Holland          ,0.74,HOLMEN, W7917 AUGUST AVE  ,345400,443800,32600,41900,378000,485700,345400,417000,32600,39400,378000,456400
3690,Town of Campbell         ,0.16,LA CROSSE, 1625 CAROLINE ST   ,58600,63200,22500,24300,81100,87500,58600,63000,22500,24200,81100,87200
37360,City of La Crosse        ,0.416,LA CROSSE, 2046 29TH ST   S,127700,138700,30700,33300,158400,172000,106600,127500,25700,30700,132300,158200
63770,Town of Onalaska         ,18.79,ONALASKA,  WENDTLAND RD   ,0,0,6000,0,6000,0,0,0,5900,0,5900,0
25960,City of La Crosse        ,0.175,LA CROSSE, 1803 AVON ST   ,122600,133100,21400,23200,144000,156300,111900,133900,17100,20500,129000,154400
35277,City of La Crosse        ,0.264,LA CROSSE, 350 28TH ST   S,158700,172300,24400,26500,183100,198800,130700,156400,19900,23800,150600,180200
35614,City of La Crosse        ,0.121,LA CROSSE, 3458 WOODBRIDGE CT   ,140000,152000,15300,16600,155300,168600,128600,153800,15300,18300,143900,172100
57250,City of Onalaska         ,0.124,ONALASKA, 251 MASON ST   ,26700,27000,24000,24300,50700,51300,25900,28200,22100,24100,48000,52300
63787,Town of Greenfield       ,35.14,LA CROSSE,  COUNTY ROAD YY      ,0,0,3200,0,3200,0,0,0,3200,0,3200,0
52582,City of La Crosse        ,0.17,LA CROSSE, 817 VITERBO DR   ,119300,129500,17500,19000,136800,148500,66700,79800,15600,18700,82300,98500
44248,City of Onalaska         ,0.26,ONALASKA, 103 COACHLITE CT   N,256200,258900,45200,45700,301400,304600,231900,252600,43200,47000,275100,299600
1154,Town of Barre            ,7.76,LA CROSSE,  DROGSETH RD   ,0,0,1900,0,1900,0,0,0,1900,0,1900,0
5927,Town of Farmington       ,35.67,MINDORO,  COUNTY ROAD T      ,900,0,7800,0,8700,0,900,0,7800,0,8700,0
59298,Town of Shelby           ,48.98,COON VALLEY, N425 GRONEMUS RD   ,0,0,19000,0,19000,0,0,0,19000,0,19000,0
28447,City of La Crosse        ,0.309,LA CROSSE, 205 LOSEY BLVD N,276700,300400,81400,88400,358100,388800,215800,258200,63400,75800,279200,334000
23484,Village of West Salem    ,0.39,WEST SALEM, 714 LEE DR   ,169000,175800,57600,59900,226600,235700,169000,170300,57600,58000,226600,228300
11154,Town of Holland          ,6.8,HOLMEN, N8793 ASPESLET RD   ,178700,229600,42200,54200,220900,283800,178700,215700,42200,50900,220900,266600
