,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
49569,City of Onalaska         ,0.61,ONALASKA, 220 EDWARDS DR   ,2900,2900,53100,53700,56000,56600,0,0,17900,19500,17900,19500
39771,City of La Crosse        ,0.208,LA CROSSE, 101 ALEXANDER ST   ,134400,145900,100000,108600,234400,254500,105800,126600,30800,36800,136600,163400
20716,Village of Holmen        ,0.254,HOLMEN, 114 LEGION ST   E,94000,91400,42600,41400,136600,132800,73100,86100,23500,27700,96600,113800
49888,Town of Greenfield       ,1.39,LA CROSSE, N1440 TOWER CT   ,365800,424600,50900,59100,416700,483700,365800,424300,50900,59000,416700,483300
60975,Village of West Salem    ,0.46,WEST SALEM, 324 JEFFERSON ST   W,335000,348500,46900,48800,381900,397300,329400,331900,47000,47400,376400,379300
61325,City of La Crosse        ,0.113,LA CROSSE, 1310 SUNSET CT   ,271800,295100,14700,16000,286500,311100,270100,323100,14700,17600,284800,340700
7165,Town of Greenfield       ,3.39,LA CROSSE, N2185 COUNTY ROAD OA      ,169300,196500,38500,44700,207800,241200,169300,196400,38500,44700,207800,241100
15844,Town of Onalaska         ,0.46,ONALASKA, N5653 QUARTERDECK DR   ,107600,138500,27600,35500,135200,174000,107600,130500,27600,33500,135200,164000
11088,Town of Holland          ,0.5,HOLMEN, W7310 COUNTY ROAD T      ,113800,146200,12600,16200,126400,162400,113800,137400,12600,15200,126400,152600
48624,City of La Crosse        ,1.97,LA CROSSE, 2442 REDWING RD   ,179500,194900,39000,42300,218500,237200,135100,161600,36700,43900,171800,205500
65989,Town of Shelby           ,76.1,LA CROSSE, W4825 MEYERS RD   ,785200,0,108000,0,893200,0,785200,0,108000,0,893200,0
40371,City of Onalaska         ,0.16,ONALASKA, 418 7TH AVE  N,151900,153500,31200,31500,183100,185000,130500,142100,29600,32200,160100,174300
36829,City of La Crosse        ,0.176,LA CROSSE, 2014 22ND ST   S,90600,98400,27700,30100,118300,128500,79300,94900,25800,30900,105100,125800
1533,Town of Burns            ,38.989,BANGOR, W130 GARVES COULEE RD   ,180600,0,27200,0,207800,0,180600,0,27000,0,207600,0
45460,Village of Bangor        ,0.11,BANGOR, 1906 RUEDY ST   ,0,0,11500,12100,11500,12100,0,0,11500,11600,11500,11600
45834,Town of Medary           ,0.03,ONALASKA,  STATE ROAD 16      ,0,0,2100,2300,2100,2300,0,0,2100,2200,2100,2200
1039,Town of Barre            ,24.68,WEST SALEM,  SWAMP RD   ,0,0,28000,0,28000,0,0,0,28000,0,28000,0
17957,Town of Shelby           ,0.56,LA CROSSE, N1079 LAUTERBACH RD   ,196400,219500,24700,27600,221100,247100,196400,211700,24700,26600,221100,238300
53862,Town of Holland          ,0.51,HOLMEN, N7154 ERANN CT   ,271400,348700,24400,31400,295800,380100,271400,327600,24400,29500,295800,357100
33535,City of La Crosse        ,0.163,LA CROSSE, 417 19TH ST   S,171800,186500,46600,50600,218400,237100,135200,161700,30000,35900,165200,197600
32303,City of La Crosse        ,0.129,LA CROSSE, 2306 MARKET ST   ,118200,128300,29100,31600,147300,159900,100000,119600,21800,26100,121800,145700
43895,City of Onalaska         ,0.31,ONALASKA, 795 ST PAUL ST   ,120900,122200,32300,32600,153200,154800,91900,100100,32500,35400,124400,135500
25073,City of La Crosse        ,0.052,LA CROSSE, 1120 GILLETTE ST   ,20800,22600,11200,12200,32000,34800,20800,24900,11200,13400,32000,38300
64569,Town of Farmington       ,11.97,MINDORO,  COUNTY ROAD VV      ,0,0,27500,34800,27500,34800,0,0,27500,32700,27500,32700
52837,City of La Crosse        ,0.164,LA CROSSE, 5000 33RD ST   S,119800,130100,10700,11600,130500,141700,111300,133100,10700,12800,122000,145900
38225,City of La Crosse        ,0.198,LA CROSSE, 3415 LEONARD ST   ,119800,130100,23400,25400,143200,155500,99200,118700,22800,27300,122000,146000
24971,City of La Crosse        ,0.074,LA CROSSE, 914 RUBLEE ST   ,88100,95700,8600,9300,96700,105000,66400,79400,8400,10000,74800,89400
38886,City of La Crosse        ,0.155,LA CROSSE, 1024 FARNAM ST   ,100600,109200,13400,14600,114000,123800,86700,103700,12300,14700,99000,118400
34355,City of La Crosse        ,0.126,LA CROSSE, 2112 PARK AVE  ,85100,92400,23500,25500,108600,117900,67200,80400,21600,25800,88800,106200
6198,Town of Farmington       ,17.61,MINDORO, W2688 COUNTY ROAD T      ,136600,0,22400,0,159000,0,136600,0,22400,0,159000,0
38255,City of La Crosse        ,0.196,LA CROSSE, 3400 33RD ST   S,151100,164100,23600,25600,174700,189700,118700,142000,23200,27800,141900,169800
67142,Town of Hamilton         ,6.96,WEST SALEM, N5084 MOOS RD   ,204100,254100,44900,55900,249000,310000,204100,237300,44900,52200,249000,289500
36212,City of La Crosse        ,0.161,LA CROSSE, 2520 15TH PL   S,88200,95800,28800,31300,117000,127100,78900,94400,23700,28400,102600,122800
21379,Village of Holmen        ,0.116,HOLMEN, 137 PRINCESS CT   ,7800,7600,3000,2900,10800,10500,7000,8200,2000,2400,9000,10600
67563,Town of Medary           ,0.832,LA CROSSE, N3551 EVERGREENS TRL  ,248600,271800,34100,37300,282700,309100,248600,255500,34100,35100,282700,290600
3372,Town of Campbell         ,0.41,LA CROSSE,  TELLIN CT   ,0,0,100,100,100,100,0,0,100,100,100,100
66606,Town of Bangor           ,14.0,WEST SALEM, W2105 COUNTY ROAD B      ,240900,0,26950,0,267850,0,240900,0,26950,0,267850,0
46715,City of La Crosse        ,0.215,LA CROSSE, 2003 ADAMS ST   ,104600,113600,36700,39800,141300,153400,85500,102300,36200,43300,121700,145600
11922,Town of Holland          ,0.54,HOLMEN, N8335 BRINGE CT   ,192800,247700,22300,28700,215100,276400,192800,232700,22300,26900,215100,259600
73013,Town of Burns            ,20.21,MINDORO, N9496 SOMMERS RD   ,51300,0,40000,0,91300,0,51300,0,39900,0,91200,0
56386,Town of Washington       ,1.43,ROCKLAND, W561 STATE ROAD 33      ,180700,182100,11600,11700,192300,193800,127500,162100,7900,10000,135400,172100
67938,City of La Crosse        ,0.588,LA CROSSE, 1837 SIMS PL   ,248500,269800,128100,139100,376600,408900,248500,297300,128100,153200,376600,450500
17792,Town of Shelby           ,0.22,LA CROSSE, 4111 VELMAR CT   ,121100,135400,25800,28800,146900,164200,121100,130500,25800,27800,146900,158300
1650,Town of Burns            ,14.68,BANGOR,  RAFFELSON RD   ,0,0,52800,53100,52800,53100,0,0,52800,52000,52800,52000
35188,City of La Crosse        ,0.198,LA CROSSE, 1413 27TH ST   S,142900,155200,24400,26500,167300,181700,120800,144500,18100,21700,138900,166200
36619,City of La Crosse        ,0.565,LA CROSSE, 2103 SISSON DR   ,116500,126500,38400,41700,154900,168200,95700,114500,28500,34100,124200,148600
19103,Town of Washington       ,40.0,COON VALLEY,  COUNTY ROAD G      ,0,0,144500,145700,144500,145700,0,0,106500,135400,106500,135400
60355,City of La Crosse        ,0.22,LA CROSSE, 4472 EL CAMINO REAL DR   ,210000,228000,26200,28400,236200,256400,195100,233400,24300,29100,219400,262500
11163,Town of Holland          ,38.022,HOLMEN,  SYLVESTER RD   ,0,0,113800,146200,113800,146200,0,0,113800,137400,113800,137400
45514,Town of Burns            ,1.26,BANGOR, W1955 STATE ROAD 16      ,22200,22300,29100,29200,51300,51500,22200,21800,29100,28600,51300,50400
36824,City of La Crosse        ,0.203,LA CROSSE, 1910 22ND ST   S,134500,146000,30400,33000,164900,179000,116500,139400,29500,35300,146000,174700
37526,City of La Crosse        ,0.194,LA CROSSE, 2903 31ST ST   S,148400,161100,23300,25300,171700,186400,112500,134600,22800,27300,135300,161900
16555,Town of Shelby           ,2.936,LA CROSSE,  JOY LN   ,0,0,10300,11500,10300,11500,0,0,10300,11100,10300,11100
35052,City of La Crosse        ,0.247,LA CROSSE, 1415 28TH ST   S,115300,125200,27200,29500,142500,154700,97800,117000,15700,18800,113500,135800
20977,Village of Holmen        ,0.201,HOLMEN, 218 KENNEDA ST   ,203600,198100,36800,35800,240400,233900,173900,204800,27500,32400,201400,237200
17731,Town of Shelby           ,0.19,LA CROSSE, 4225 PINECREST CT   ,97900,109400,24000,26800,121900,136200,97900,105500,24000,25900,121900,131400
10265,Town of Holland          ,11.25,HOLMEN, W7266 SYLVESTER RD   ,329600,0,43800,0,373400,0,329600,0,43800,0,373400,0
59439,City of Onalaska         ,47.17,ONALASKA, 4301 KINNEY COULEE RD   N,0,0,214600,216900,214600,216900,0,0,165100,179800,165100,179800
45138,City of Onalaska         ,0.17,ONALASKA, 110 HERITAGE LN   ,179800,181700,25400,25700,205200,207400,154700,168500,25400,27700,180100,196200
23046,Village of West Salem    ,0.22,WEST SALEM, 414 MAPLE ST   N,104300,108500,40200,41800,144500,150300,104300,105100,40200,40500,144500,145600
72057,City of La Crosse        ,0.54,LA CROSSE, 6015 RIVER RUN RD   ,0,0,80600,87500,80600,87500,0,0,0,0,0,0
11712,Town of Holland          ,0.57,HOLMEN, N6936 SKYVIEW CT   ,177000,227400,22300,28700,199300,256100,177000,213700,22300,26900,199300,240600
20753,Village of Holmen        ,1.044,HOLMEN, 201 LAKE ST   ,187500,182400,62600,60900,250100,243300,133100,156700,37900,44600,171000,201300
69163,Town of Farmington       ,1.57,MINDORO,  SULLIVAN RD   ,0,0,3600,4600,3600,4600,0,0,3600,4300,3600,4300
32372,City of La Crosse        ,0.218,LA CROSSE, 320 24TH ST   S,214000,232400,59000,64100,273000,296500,171300,204900,38200,45700,209500,250600
36408,City of La Crosse        ,0.15,LA CROSSE, 1908 21ST ST   S,84000,91200,31200,33900,115200,125100,72800,87100,28900,34600,101700,121700
29540,City of La Crosse        ,0.115,LA CROSSE, 718 MAIN ST   ,160700,174500,66000,71700,226700,246200,160700,192200,66000,79000,226700,271200
53747,Town of Burns            ,0.28,BANGOR,  COUNTY ROAD DE      ,0,0,100,0,100,0,0,0,100,0,100,0
71660,Town of Bangor           ,0.74,WEST SALEM,  COUNTY ROAD B      ,0,0,7400,8600,7400,8600,0,0,10400,11700,10400,11700
49609,Town of Onalaska         ,3.59,ONALASKA, N5629 MOOS RD   ,106300,136800,38000,48900,144300,185700,106300,128900,38000,46100,144300,175000
30249,City of La Crosse        ,0.121,LA CROSSE, 2130 KING ST   ,151200,164200,40800,44300,192000,208500,123400,147600,30500,36500,153900,184100
70268,Village of Holmen        ,1.35,HOLMEN, 706 MCHUGH RD   ,6000,5800,143500,139600,149500,145400,144700,170400,37100,43700,181800,214100
32181,City of La Crosse        ,0.13,LA CROSSE, 438 23RD ST   S,122100,132600,38800,42100,160900,174700,98200,117500,24000,28700,122200,146200
61339,Town of Greenfield       ,4.0,LA CROSSE, N2336 CLEMENTS RD   ,147100,170700,54500,63300,201600,234000,147100,170600,54500,63200,201600,233800
20890,Village of Holmen        ,0.22,HOLMEN, 309 PARK ST   ,144900,141000,40200,39100,185100,180100,126900,149400,22400,26400,149300,175800
17826,Town of Shelby           ,0.2,LA CROSSE, 4316 MARKLE RD   ,81100,90700,25300,28300,106400,119000,81100,87400,25300,27300,106400,114700
1413,Town of Barre            ,36.25,LA CROSSE,  COUNTY ROAD OA      ,0,0,39500,0,39500,0,0,0,39500,0,39500,0
22899,Village of West Salem    ,0.84,WEST SALEM, 473 ELM ST   W,162100,168600,46700,48600,208800,217200,162100,163300,46700,47100,208800,210400
19506,Village of Bangor        ,0.12,BANGOR, 202 15TH AVE  S,84800,89600,9600,10100,94400,99700,84800,85700,9600,9700,94400,95400
41045,City of Onalaska         ,1.04,ONALASKA, 921 2ND AVE  SW,0,0,76500,77300,76500,77300,0,0,68300,74400,68300,74400
50049,Town of Greenfield       ,8.456,LA CROSSE, W2807 KLOSS RD   ,234800,272500,34400,39900,269200,312400,234800,272400,34400,39900,269200,312300
5836,Town of Farmington       ,40.0,MINDORO, N8867 ROBERTS RD   ,57100,0,16400,0,73500,0,57100,0,16400,0,73500,0
57186,City of La Crosse        ,0.02,LA CROSSE, 100 6TH ST   N,194800,211500,6900,7500,201700,219000,211900,253500,6900,8300,218800,261800
14147,Town of Onalaska         ,0.99,ONALASKA, N5645 OAK HILLS DR   ,193500,249000,34700,44700,228200,293700,193500,234600,34700,42100,228200,276700
62598,Town of Barre            ,32.72,WEST SALEM,  SWAMP RD   ,0,0,3500,0,3500,0,0,0,3500,0,3500,0
34157,City of La Crosse        ,0.11,LA CROSSE, 1914 ADAMS ST   ,113400,123100,27100,29400,140500,152500,90800,108600,24100,28800,114900,137400
57980,Village of Rockland      ,0.284,ROCKLAND, 100 COMMERCIAL ST   N,134200,134300,17800,17800,152000,152100,46900,55500,16900,20000,63800,75500
2648,Town of Burns            ,40.0,BANGOR, W388 PETTINGER HILL RD   ,88500,0,68100,0,156600,0,88500,0,68000,0,156500,0
68840,Town of Bangor           ,37.99,ROCKLAND,  COUNTY ROAD J      ,0,0,31700,0,31700,0,0,0,31700,0,31700,0
63651,Town of Greenfield       ,4.26,LA CROSSE,  WUENSCH RD   ,0,0,800,0,800,0,0,0,800,0,800,0
37978,City of La Crosse        ,0.207,LA CROSSE, 2933 LEONARD ST   ,108000,117300,26300,28600,134300,145900,83200,99500,21000,25100,104200,124600
43715,City of Onalaska         ,0.53,ONALASKA, 1224 COUNTY ROAD PH      W,144800,146300,44400,44900,189200,191200,113200,123300,38500,41900,151700,165200
71829,Village of Holmen        ,1.15,ONALASKA, 3406 SAND LAKE RD   ,169400,164800,57900,56300,227300,221100,136000,160200,29500,34700,165500,194900
45842,City of Onalaska         ,0.01,ONALASKA, 3236 KINNEY COULEE RD   N,0,0,4600,4600,4600,4600,0,0,3200,3500,3200,3500
66743,City of La Crosse        ,0.39,LA CROSSE, 2680 7TH ST   S,463600,503400,90000,97700,553600,601100,301000,360100,52300,62600,353300,422700
23011,Village of West Salem    ,0.28,WEST SALEM, 116 TILSON ST   E,199100,207100,43700,45500,242800,252600,165900,167200,43700,44000,209600,211200
27226,City of La Crosse        ,4.038,LA CROSSE, 1920 OAK ST   ,2169800,2356000,505000,548300,2674800,2904300,2169800,2595600,505000,604100,2674800,3199700
13411,Town of Onalaska         ,3.93,HOLMEN, W6718 HIDDEN VALLEY RD   ,280100,360400,39700,51100,319800,411500,280100,339600,39700,48100,319800,387700
62979,City of La Crosse        ,10.61,LA CROSSE, 3632 CALVERT RD   ,4178900,4537500,396100,430100,4575000,4967600,4178900,4999000,396100,473800,4575000,5472800
43006,City of Onalaska         ,0.13,ONALASKA, 625 OAK AVE  N,160600,162300,20200,20400,180800,182700,151200,164700,15400,16800,166600,181500
7031,Town of Greenfield       ,29.35,LA CROSSE,  COUNTY ROAD M      ,0,0,2100,0,2100,0,0,0,2100,0,2100,0
15097,Town of Onalaska         ,0.5,ONALASKA, N5946 COUNTY ROAD ZZ      ,137500,176900,18000,23200,155500,200100,137500,166700,18000,21800,155500,188500
70916,City of La Crosse        ,0.18,LA CROSSE, 1251 MOORINGS DR   ,277300,301100,80000,86900,357300,388000,238500,285300,60000,71800,298500,357100
13764,Town of Onalaska         ,1.79,ONALASKA, N5946 PARK DR   ,197800,254500,29000,37300,226800,291800,197800,239800,29000,35200,226800,275000
58540,Town of Holland          ,0.758,HOLMEN, N7543 DUTCH AVE  ,182300,234300,26400,33900,208700,268200,182300,220100,26400,31900,208700,252000
42192,City of Onalaska         ,0.29,ONALASKA, 1228 WILSON ST   ,170600,172400,45200,45700,215800,218100,140500,153000,43700,47600,184200,200600
22462,Village of West Salem    ,0.19,WEST SALEM, 337 LEONARD ST   N,102500,106600,33700,35100,136200,141700,102500,103300,33700,34000,136200,137300
36225,City of La Crosse        ,0.06,LA CROSSE, 2902 SOUTH AVE  ,0,0,10100,11000,10100,11000,0,0,7600,9100,7600,9100
25909,City of La Crosse        ,0.085,LA CROSSE, 1319 RUBLEE ST   ,108100,117400,15200,16500,123300,133900,90000,107700,18500,22100,108500,129800
44171,City of Onalaska         ,0.26,ONALASKA, 656 GREEN CT   ,145900,147400,32400,32700,178300,180100,105600,115000,31500,34300,137100,149300
12045,Town of Holland          ,0.61,HOLMEN, N7048 PINE LN   ,248800,319700,23600,30300,272400,350000,248800,300300,23600,28500,272400,328800
44544,City of Onalaska         ,0.28,ONALASKA, 503 BIRDIE CT   ,262800,265600,47100,47600,309900,313200,251200,273600,45700,49800,296900,323400
65179,Town of Medary           ,0.832,LA CROSSE, W5450 TIMBER CREEK TRL  ,210600,230300,34100,37300,244700,267600,210600,216500,34100,35100,244700,251600
26092,City of La Crosse        ,0.129,LA CROSSE, 2106 CHARLES ST   ,92300,100200,16500,17900,108800,118100,80800,96700,15300,18300,96100,115000
19608,Village of Bangor        ,0.09,BANGOR, 402 16TH AVE  S,81800,86400,9600,10100,91400,96500,81800,82700,9600,9700,91400,92400
64723,Town of Bangor           ,6.56,ROCKLAND, N2550 COUNTY ROAD JB      ,161800,188300,26600,31000,188400,219300,161800,181900,26600,29900,188400,211800
55271,City of Onalaska         ,0.26,ONALASKA, 950 OAK TIMBER DR   ,281300,284300,59900,60500,341200,344800,246300,268200,46600,50800,292900,319000
58548,Town of Holland          ,0.811,HOLMEN, W7936 TULIP LN   ,269100,345800,28000,36000,297100,381800,269100,324800,28000,33800,297100,358600
37195,City of La Crosse        ,0.236,LA CROSSE, 2721 BLUFFVIEW PL   ,77900,84600,30300,32900,108200,117500,62000,74200,24000,28700,86000,102900
21331,Village of Holmen        ,0.115,HOLMEN, 89 BRENTWOOD LN   ,7800,7600,3000,2900,10800,10500,7000,8200,2000,2400,9000,10600
37977,City of La Crosse        ,0.207,LA CROSSE, 2927 LEONARD ST   ,147100,159700,26300,28600,173400,188300,119600,143100,21000,25100,140600,168200
25745,City of La Crosse        ,0.146,LA CROSSE, 1211 NORTH ST   ,0,0,35500,38500,35500,38500,0,0,35500,42500,35500,42500
27492,City of La Crosse        ,0.97,LA CROSSE, 4706 NORTHBROOK RD   ,115700,125600,23400,25400,139100,151000,135000,161500,11700,14000,146700,175500
56022,Town of Barre            ,8.41,LA CROSSE, W4350 DRECTRAH RD   ,8800,10200,53900,62600,62700,72800,8800,9900,53900,60700,62700,70600
55639,Village of Holmen        ,0.24,HOLMEN, 804 GREENWOOD ST   ,210900,205200,45300,44100,256200,249300,168200,198100,36900,43500,205100,241600
21525,Village of Holmen        ,0.31,HOLMEN, 2718 PLEASANT DR   S,173700,169000,44100,42900,217800,211900,128700,151600,27500,32400,156200,184000
29741,City of La Crosse        ,0.074,LA CROSSE, 215 11TH ST   N,87600,95100,16500,17900,104100,113000,66500,79600,11200,13400,77700,93000
32561,City of La Crosse        ,0.158,LA CROSSE, 1601 MARKET ST   ,178800,194100,26500,28800,205300,222900,155000,185400,25000,29900,180000,215300
38601,City of La Crosse        ,0.184,LA CROSSE, 3221 GLENDALE AVE  ,175400,190500,22800,24800,198200,215300,150500,180000,22400,26800,172900,206800
37875,City of La Crosse        ,0.19,LA CROSSE, 3173 26TH ST   S,133000,144400,25100,27300,158100,171700,106500,127400,20300,24300,126800,151700
2893,Town of Campbell         ,0.62,LA CROSSE, 2316 BAINBRIDGE ST   ,0,0,64800,69900,64800,69900,0,0,64800,69600,64800,69600
69082,Town of Barre            ,30.97,WEST SALEM, N3645 OLD M RD   ,241000,0,51000,0,292000,0,232700,0,51000,0,283700,0
51957,City of Onalaska         ,0.594,ONALASKA, 2228 QUARRY LN   ,324800,328200,70700,71400,395500,399600,306000,333300,68300,74400,374300,407700
56335,Town of Farmington       ,3.39,HOLMEN, W5216 COUNTY ROAD T      ,117200,148400,13800,17500,131000,165900,117200,139400,13800,16400,131000,155800
30227,City of La Crosse        ,0.119,LA CROSSE, 2130 GRANDVIEW PL   ,143800,156100,39500,42900,183300,199000,116400,139200,29800,35600,146200,174800
65308,Town of Hamilton         ,32.29,BANGOR, W2621 STATE ROAD 16      ,173400,0,30300,0,203700,0,173400,0,30600,0,204000,0
58560,Town of Holland          ,0.938,HOLMEN,  DUTCH AVE  ,0,0,29400,37800,29400,37800,0,0,29400,35500,29400,35500
16692,Town of Shelby           ,4.64,LA CROSSE, N2114 WEDGEWOOD DR   E,216100,241600,62700,70100,278800,311700,216100,232900,62700,67600,278800,300500
61831,Town of Holland          ,39.11,HOLMEN, W6533 COUNTY ROAD T      ,140900,0,29000,0,169900,0,140900,0,29100,0,170000,0
44735,City of Onalaska         ,0.12,ONALASKA, 922 STREBLOW ST   ,155600,157200,20500,20700,176100,177900,137300,149500,17800,19400,155100,168900
49543,Town of Shelby           ,1.71,LA CROSSE, W4903 STATE ROAD 33      ,131900,147400,32500,36300,164400,183700,131900,142200,32500,35000,164400,177200
26670,City of La Crosse        ,0.129,LA CROSSE, 2505 WOOD ST   ,61600,66900,16500,17900,78100,84800,50500,60400,12500,15000,63000,75400
45930,City of Onalaska         ,0.21,ONALASKA, 947 WINDHILL ST   ,237100,239600,36100,36500,273200,276100,182000,198200,32700,35600,214700,233800
20022,Village of Bangor        ,0.2,BANGOR, 206 HATTAN ST   ,191400,202100,23000,24300,214400,226400,191400,193500,23000,23300,214400,216800
55412,Town of Greenfield       ,0.87,LA CROSSE,  SIGEL CT   ,0,0,200,0,200,0,0,0,200,0,200,0
71944,Village of Holmen        ,0.258,HOLMEN, 2011 SPAKENBURG RD   ,0,0,100,0,100,0,0,0,0,0,0,0
41345,City of Onalaska         ,0.18,ONALASKA, 416 TROY ST   ,191100,193100,31500,31800,222600,224900,160900,175200,25100,27300,186000,202500
16808,Town of Shelby           ,0.3,LA CROSSE, W5875 COULEE SPRINGS LN   ,234100,261700,26100,29200,260200,290900,234100,252300,26100,28100,260200,280400
55151,Town of Onalaska         ,25.34,HOLMEN, N6964 KNUDSON RD   ,145600,0,30600,0,176200,0,145300,0,30500,0,175800,0
22347,Village of West Salem    ,0.29,WEST SALEM, 116 MILL ST   N,71800,74700,33400,34700,105200,109400,71800,72300,33400,33700,105200,106000
31245,City of La Crosse        ,0.102,LA CROSSE, 518 10TH ST   S,148600,161400,17200,18700,165800,180100,110700,132400,13200,15800,123900,148200
29950,City of La Crosse        ,0.207,LA CROSSE, 140 20TH ST   S,163900,178000,55000,59700,218900,237700,142400,170300,40500,48400,182900,218700
47189,Town of Hamilton         ,37.38,WEST SALEM,  COUNTY ROAD M      ,0,0,8700,0,8700,0,0,0,8900,0,8900,0
1792,Town of Burns            ,7.92,BANGOR, N6893 GARVES COULEE RD   ,203800,0,26700,0,230500,0,203800,0,26700,0,230500,0
43057,City of Onalaska         ,0.39,ONALASKA, 618 WESTWOOD DR   ,337700,341300,54400,55000,392100,396300,305700,332900,44500,48500,350200,381400
3904,Town of Campbell         ,0.29,LA CROSSE, 1917 NAKOMIS AVE  ,366300,394900,136700,147400,503000,542300,366300,393600,136700,146900,503000,540500
52999,Town of Farmington       ,4.0,HOLMEN, W5155 HALE CT   ,176800,223800,24000,30400,200800,254200,176800,210300,24000,28500,200800,238800
52035,Town of Farmington       ,1.87,MINDORO, W4384 COUNTY ROAD T      ,93800,118700,10700,13500,104500,132200,93800,111600,10700,12700,104500,124300
22032,Village of Rockland      ,0.38,ROCKLAND, 401 COMMERCIAL ST   S,136900,137000,23300,23300,160200,160300,123000,145400,18000,21300,141000,166700
